period,deals,leads,subscribers,ultra,max,deal_rev,lead_rev,sub_rev,ad_rev,fin_rev,total_rev,opex,net_monthly,cum_cash,gmv,team,marketing,infra,gna
יוני 26,26,130,15,15,0,78026,19500,33750,0,0,131276,54000,77276,227276,3900000,30000,15000,4000,5000
יולי 26,32,160,20,20,0,96032,24000,90000,0,0,210032,60000,150032,377308,4800000,30000,20000,4000,6000
אוגוסט 26,34,170,25,24,1,102034,25500,115700,0,0,243234,63000,180234,557542,5100000,30000,22000,5000,6000
ספטמבר 26,47,235,30,29,1,141047,35250,138200,0,35250,349747,89000,260747,818289,7050000,50000,25000,6000,8000
אוקטובר 26,50,250,34,32,2,150050,37500,159400,8000,37500,392450,94000,298450,1116739,7500000,50000,28000,7000,9000
נובמבר 26,62,310,38,35,3,186062,46500,180600,10000,46500,469662,99000,370662,1487401,9300000,50000,32000,7000,10000
דצמבר 26,63,315,42,38,4,189063,47250,201800,12000,47250,497363,98000,399363,1886764,9450000,50000,30000,8000,10000
ינואר 27,102,510,48,43,5,306102,76500,232000,15000,76500,706102,142000,564102,2450866,15300000,75000,45000,10000,12000
פברואר 27,92,460,54,48,6,276092,69000,262200,15000,69000,691292,139000,552292,3003158,13800000,75000,42000,10000,12000
מרץ 27,108,540,60,52,8,324108,81000,295600,18000,81000,799708,144000,655708,3658866,16200000,75000,45000,11000,13000
אפריל 27,105,525,66,57,9,315105,78750,325800,20000,78750,818405,144000,674405,4333271,15750000,75000,45000,11000,13000
מאי 27,124,620,72,61,11,372124,93000,359200,22000,93000,939324,151000,788324,5121595,18600000,75000,50000,12000,14000
יוני 27,139,695,78,65,13,417139,104250,392600,25000,104250,1043239,157000,886239,6007834,20850000,75000,55000,12000,15000
יולי 27,156,780,83,68,15,468156,117000,421500,28000,117000,1151656,190000,961656,6969490,23400000,100000,60000,14000,16000
אוגוסט 27,151,755,88,71,17,453151,113250,450400,28000,113250,1158051,192000,966051,7935541,22650000,100000,60000,15000,17000
ספטמבר 27,187,935,93,74,19,561187,140250,479300,32000,140250,1352987,204000,1148987,9084528,28050000,100000,70000,16000,18000
אוקטובר 27,182,910,98,76,22,546182,136500,511400,35000,136500,1365582,206000,1159582,10244110,27300000,100000,70000,17000,19000
נובמבר 27,204,1020,103,79,24,612204,153000,540300,38000,153000,1496504,213000,1283504,11527614,30600000,100000,75000,18000,20000
דצמבר 27,187,935,108,81,27,561187,140250,572400,40000,140250,1454087,208000,1246087,12773701,28050000,100000,70000,18000,20000
